AREA_TITLE,OCC_CODE,Occupation,Alias 1,Alias 2,Alias 3,Alias 4,Alias 5,TOT_EMP,A_MEAN,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,Monthly Income
U.S.,11-1011,Chief Executives,CEO,President,Executive Director,,Entrepreneur; Nonprofit Leader,"211,230","258,900","80,000","130,840","206,680",#,#,17223
U.S.,11-1021,General and Operations Managers,General and Operations Mgrs,Operations Manager,General Manager,,Farm Manager; Project Manager; Entrepreneur; Public Administrator,"3,507,810","129,330","46,340","65,180","101,280","160,290","232,110",8440
U.S.,11-1031,Legislators,Lawmakers,Elected Officials,congressman,senator,Goofball,"32,460","68,140","21,010","28,810","47,290","82,200","129,510",3941
U.S.,11-Nov,Advertising and Promotions Managers,Advertising and Promotions Mgrs,Advertising Manager,Promotions Manager,,Public Relations Specialist; Communications Director; Marketing Manager,"20,630","152,620","63,580","88,810","131,870","188,530",#,10989
U.S.,21-Nov,Marketing Managers,Marketing Mgrs,Marketing Director,Brand Manager,,Communications Director; Market Researcher; Marketing Manager,"368,940","166,410","79,600","108,000","157,620","208,000",#,13135
U.S.,22-Nov,Sales Managers,Sales Mgrs,,,,,"575,880","157,610","63,700","93,540","135,160","196,700",#,11263
U.S.,Nov-32,Public Relations Managers,Public Relations Mgrs,PR Manager,PR ,,,"72,760","159,420","76,160","99,180","134,760","191,840",#,11230
U.S.,Nov-33,Fundraising Managers,Fundraising Mgrs,,,,Nonprofit Coordinator,"31,810","133,620","68,800","86,880","119,200","162,660","212,730",9933
U.S.,12-Nov,Administrative Services Managers,Administrative Services Mgrs,,,,Administrative Assistant; Emergency Management Specialist,"242,520","121,200","62,470","81,420","106,470","140,870","188,820",8873
U.S.,13-Nov,Facilities Managers,Facilities Mgrs,,,,,"131,400","111,110","60,840","78,130","102,340","133,990","169,020",8528
U.S.,21-Nov,Computer and Information Systems Managers,Computer and Information Systems Mgrs,,,,,"592,600","180,720","101,590","131,770","169,510","214,050",#,14126
U.S.,Nov-31,Financial Managers,Financial Mgrs,,,,,"787,340","174,820","82,870","110,190","156,100","210,830",#,13008
U.S.,Nov-51,Industrial Production Managers,Industrial Production Mgrs,,,,Logistics Manager,"222,890","125,900","72,010","91,590","116,970","151,220","190,480",9748
U.S.,Nov-61,Purchasing Managers,Purchasing Mgrs,,,,,"77,530","146,710","83,510","105,300","136,380","172,110","215,170",11365
U.S.,Nov-71,"Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Mgrs",,,,Logistics Manager; Freight Coordinator,"198,780","111,870","58,810","76,120","99,200","133,090","175,530",8267
U.S.,11-Nov,Compensation and Benefits Managers,Compensation and Benefits Mgrs,HR Manager,,,,"18,690","150,940","76,550","102,540","136,380","181,030","229,970",11365
U.S.,21-Nov,Human Resources Managers,Human Resources Mgrs,HR Manager,Personnel Manager,,,"200,600","154,740","81,060","103,340","136,350","182,120",#,11363
U.S.,Nov-31,Training and Development Managers,Training and Development Mgrs,,,,,"41,540","138,450","73,410","94,240","125,040","166,780","220,060",10420
U.S.,13-Nov,"Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Mgrs",Farm Manager,,,Farm Manager,"6,150","90,160","47,800","63,510","83,770","109,090","136,410",6981
U.S.,21-Nov,Construction Managers,Construction Mgrs,Project Manager,Site Supervisor,,Civil Engineer; Construction Manager,"329,190","116,960","64,480","81,640","104,900","135,550","172,040",8742
U.S.,Nov-31,"Education and Childcare Administrators, Preschool and Daycare","Education and Childcare Admins, Preschool and Daycare",,,,,"64,090","61,320","36,550","44,420","54,290","69,350","94,890",4524
U.S.,Nov-32,"Education Administrators, Kindergarten through Secondary","Education Admins, Kindergarten through Secondary",,,,Education Administrator,"302,580","111,020","70,050","83,050","103,460","131,180","163,010",8622
