Zipcode,Housing,Transportation,Food,Healthcare,Personal Insurance,Apparel,Services,Entertainment,Other,Monthly Expense,Income Adjustment Factor,City,State
00601,2000,600,500,340,1000,250,300,350,200,5540,1,ADJUNTAS,PR
00602,2200,600,500,340,1000,250,300,350,200,5740,1.1,AGUADA,PR
00603,2400,600,500,340,1000,250,300,350,200,5940,1.2,AGUADILLA,PR
00604,1800,600,500,340,1000,250,300,350,200,5340,0.9,AGUADILLA,PR
00605,1600,600,500,340,1000,250,300,350,200,5140,0.8,AGUADILLA,PR
00605,2000,600,500,340,1000,250,300,350,200,5540,1,AGUADILLA,PR
00606,2200,600,500,340,1000,250,300,350,200,5740,1.1,MARICAO,PR
00610,2400,600,500,340,1000,250,300,350,200,5940,1.2,ANASCO,PR
00611,1800,600,500,340,1000,250,300,350,200,5340,0.9,ANGELES,PR
00612,1600,600,500,340,1000,250,300,350,200,5140,0.8,ARECIBO,PR
00613,2000,600,500,340,1000,250,300,350,200,5540,1,ARECIBO,PR
00613,2200,600,500,340,1000,250,300,350,200,5740,1.1,ARECIBO,PR
00614,2400,600,500,340,1000,250,300,350,200,5940,1.2,ARECIBO,PR
00616,1800,600,500,340,1000,250,300,350,200,5340,0.9,BAJADERO,PR
00617,1600,600,500,340,1000,250,300,350,200,5140,0.8,BARCELONETA,PR
00622,2000,600,500,340,1000,250,300,350,200,5540,1,BOQUERON,PR
00623,2200,600,500,340,1000,250,300,350,200,5740,1.1,CABO ROJO,PR
00624,2400,600,500,340,1000,250,300,350,200,5940,1.2,PENUELAS,PR
00627,1800,600,500,340,1000,250,300,350,200,5340,0.9,CAMUY,PR
00631,1600,600,500,340,1000,250,300,350,200,5140,0.8,CASTANER,PR
00637,2000,600,500,340,1000,250,300,350,200,5540,1,SABANA GRANDE,PR
00638,2200,600,500,340,1000,250,300,350,200,5740,1.1,CIALES,PR
00641,2400,600,500,340,1000,250,300,350,200,5940,1.2,UTUADO,PR
00646,1800,600,500,340,1000,250,300,350,200,5340,0.9,DORADO,PR
00647,1600,600,500,340,1000,250,300,350,200,5140,0.8,ENSENADA,PR
00650,2000,600,500,340,1000,250,300,350,200,5540,1,FLORIDA,PR
00652,2200,600,500,340,1000,250,300,350,200,5740,1.1,GARROCHALES,PR
00653,2400,600,500,340,1000,250,300,350,200,5940,1.2,GUANICA,PR
00656,1800,600,500,340,1000,250,300,350,200,5340,0.9,GUAYANILLA,PR
00659,1600,600,500,340,1000,250,300,350,200,5140,0.8,HATILLO,PR
00660,2000,600,500,340,1000,250,300,350,200,5540,1,HORMIGUEROS,PR
00662,2200,600,500,340,1000,250,300,350,200,5740,1.1,ISABELA,PR
00664,2400,600,500,340,1000,250,300,350,200,5940,1.2,JAYUYA,PR
00667,1800,600,500,340,1000,250,300,350,200,5340,0.9,LAJAS,PR
00669,1600,600,500,340,1000,250,300,350,200,5140,0.8,LARES,PR
00670,2000,600,500,340,1000,250,300,350,200,5540,1,LAS MARIAS,PR
00674,2200,600,500,340,1000,250,300,350,200,5740,1.1,MANATI,PR
00676,2400,600,500,340,1000,250,300,350,200,5940,1.2,MOCA,PR
00676,1800,600,500,340,1000,250,300,350,200,5340,0.9,MOCA,PR
00677,1600,600,500,340,1000,250,300,350,200,5140,0.8,RINCON,PR
00678,2000,600,500,340,1000,250,300,350,200,5540,1,QUEBRADILLAS,PR
00680,2200,600,500,340,1000,250,300,350,200,5740,1.1,MAYAGUEZ,PR
00680,2400,600,500,340,1000,250,300,350,200,5940,1.2,MAYAGUEZ,PR
00681,1800,600,500,340,1000,250,300,350,200,5340,0.9,MAYAGUEZ,PR
00681,1600,600,500,340,1000,250,300,350,200,5140,0.8,MAYAGUEZ,PR
00682,2000,600,500,340,1000,250,300,350,200,5540,1,MAYAGUEZ,PR
00683,2200,600,500,340,1000,250,300,350,200,5740,1.1,SAN GERMAN,PR
00685,2400,600,500,340,1000,250,300,350,200,5940,1.2,SAN SEBASTIAN,PR
00685,1800,600,500,340,1000,250,300,350,200,5340,0.9,SAN SEBASTIAN,PR
00685,1600,600,500,340,1000,250,300,350,200,5140,0.8,SAN SEBASTIAN,PR
