State,zipcode,Mean Income,Estimated Investments,Home_Value
AK,00000,"88,909.31","59,376",
AK,99501,"95,266.67","118,183","317,684"
AK,99502,"98,769.32","100,471","417,846"
AK,99503,"73,469.19","60,496","307,855"
AK,99504,"70,559.49","27,415","341,942"
AK,99505,"55,693.07",4703,
AK,99506,"51,006.96",3978,
AK,99507,"96,337.19","67,732","391,578"
AK,99508,"67,837.49","66,732","324,851"
AK,99515,"112,170.20","107,251","446,879"
AK,99516,"178,609.27","171,961","639,998"
AK,99517,"103,694.42","106,038","382,226"
AK,99518,"84,460.98","48,962","308,477"
AK,99540,"119,614.29",71143,"571,841"
AK,99556,"68,977.17","27,039","256,682"
AK,99559,"74,742.50","13,671",
AK,99567,"101,039.04","56,304","482,363"
AK,99568,"79,800.00",17765,"273,073"
AK,99572,"79,234.78",66435,"455,717"
AK,99573,"57,529.55",27045,
AK,99577,"109,945.02","50,938","459,592"
AK,99586,"52,620.00",3600,
AK,99588,"79,168.57",26629,
AK,99603,"88,972.91","109,254","372,100"
AK,99605,"65,770.00",11800,"255,372"
AK,99610,"77,785.96","50,351","291,164"
AK,99611,"83,512.97","44,286","321,332"
AK,99615,"80,988.12","40,346","434,333"
AK,99631,"79,864.29",20857,"270,277"
AK,99639,"66,020.90","50,060","195,913"
AK,99645,"94,892.65","42,032","387,430"
AK,99654,"89,289.22","29,431","388,574"
AK,99664,"80,414.91","45,096","350,386"
AK,99669,"94,555.51","64,320","354,047"
AK,99672,"91,788.76","41,843","343,142"
AK,99674,"74,126.39","28,500","268,014"
AK,99676,"76,264.71","47,902","243,163"
AK,99686,"93,927.87","29,366","325,525"
AK,99688,"76,931.72","39,697","251,185"
AK,99701,"70,872.65","33,302","246,728"
AK,99702,"49,342.47",4425,
AK,99703,"49,962.05",2554,
AK,99705,"81,058.21","18,606","308,549"
AK,99709,"97,758.40","59,159","300,436"
AK,99712,"99,763.91","69,389","306,375"
AK,99714,"75,060.42",20292,"206,163"
AK,99737,"79,796.89","25,513","332,960"
AK,99743,"80,891.38",25345,
AK,99760,"69,979.41",17824,
AK,99780,"88,198.72",23154,
AK,99801,"92,875.54","63,564","491,325"
AK,99824,"91,014.81","73,370","352,854"
AK,99827,"85,696.00","106,576","309,204"
AK,99833,"92,677.11","111,699","316,217"
AK,99835,"90,924.44","87,484","471,819"
AK,99901,"91,423.98","56,281","385,583"
AK,99999,"79,187.97","51,627",
AL,00000,"75,679.70","52,200",
AL,35004,"69,525.69","15,601","250,867"
AL,35005,"45,748.33",5574,"138,624"
AL,35006,"64,873.02",6302,"114,248"
AL,35007,"69,059.25","18,557","278,380"
AL,35010,"66,693.50","59,910","178,407"
AL,35014,"61,066.05","33,654","276,099"
AL,35016,"64,723.58","19,713","232,776"
AL,35019,"63,786.14",14099,"211,796"
AL,35020,"33,133.53","8,726","61,137"
AL,35022,"67,199.82","19,767","270,701"
AL,35023,"56,086.93","11,847","163,018"
AL,35031,"54,159.35","7,626","201,834"
AL,35033,"78,564.05","37,869","279,667"
AL,35034,"47,251.47",10118,"170,331"
AL,35035,"69,308.93",12464,"258,805"
AL,35040,"64,453.50","14,207","247,382"
AL,35042,"60,642.27","15,209","189,838"
AL,35043,"102,477.49","44,631","370,016"
AL,35044,"50,697.77","16,395","168,091"
AL,35045,"60,254.80","18,404","200,894"
AL,35046,"73,272.20","46,091","241,250"
AL,35049,"61,214.12","12,718","220,861"
AL,35051,"87,380.39","51,917","300,589"
AL,35053,"92,678.46","52,354","479,958"
AL,35054,"90,058.77","81,848","409,401"
AL,35055,"71,922.94","35,349","229,853"
AL,35057,"79,036.72","33,397","257,045"
AL,35058,"71,904.93","23,931","235,006"
AL,35061,"41,305.45",727,"88,550"
AL,35062,"69,471.04","14,675","192,789"
AL,35063,"54,993.60",4672,"169,274"
AL,35064,"39,885.27",3059,"87,332"
AL,35068,"56,883.45","10,462","221,965"
AL,35071,"77,781.97","30,964","256,727"
AL,35072,"53,103.33",5922,"128,082"
AL,35073,"46,985.15",3703,"95,588"
AL,35077,"58,117.56","11,004","195,604"
AL,35078,"69,083.33","23,333","269,876"
AL,35079,"68,291.95","8,821","239,381"
AL,35080,"90,417.54","28,098","326,185"
AL,35083,"60,003.03",8227,"218,775"
AL,35085,"58,352.35","11,030","218,422"
AL,35087,"54,036.26",7692,"209,676"
AL,35089,"40,455.41",2730,"127,064"
AL,35091,"88,172.85",7457,"295,127"
AL,35094,"72,333.68","50,329","243,546"
AL,35096,"64,109.73","25,528","229,937"
AL,35097,"62,152.70",6973,"223,229"
AL,35098,"55,610.94",6406,"239,033"
AL,35111,"75,343.09","19,126","288,865"
AL,35114,"80,174.39","19,579","330,594"
AL,35115,"54,809.15","25,002","231,597"
AL,35116,"83,049.77","27,142","244,415"
AL,35117,"77,298.61","17,285","247,414"
AL,35118,"54,966.92",6292,"130,139"
AL,35120,"66,385.01","11,328","250,373"
AL,35121,"70,212.50","40,808","217,963"
AL,35124,"103,989.43","76,176","327,701"
AL,35125,"58,966.52","17,564","211,337"
AL,35126,"58,844.93","13,787","220,188"
AL,35127,"57,736.01","9,874","221,216"
AL,35128,"86,558.37","48,785","301,657"
AL,35130,"56,737.19",4231,"117,429"
AL,35131,"53,535.71",4805,"170,570"
AL,35133,"63,908.33",6476,"240,090"
AL,35135,"73,174.71",16207,"299,682"
AL,35136,"59,849.30",14141,"187,565"
AL,35143,"77,551.77","47,872","318,509"
AL,35146,"81,285.82","29,204","319,361"
AL,35147,"84,941.15","48,420","311,061"
AL,35148,"57,142.45",11566,"161,598"
AL,35150,"51,110.92","25,172","150,912"
AL,35151,"63,268.63","14,935","190,944"
AL,35160,"51,059.03","26,912","150,961"
AL,35171,"64,514.58",13653,"227,280"
AL,35172,"54,343.22",3881,"177,853"
AL,35173,"107,747.94","65,138","368,375"
AL,35175,"73,364.47","43,518","255,558"
AL,35176,"55,325.00",6889,
AL,35178,"58,974.85","18,048","233,191"
AL,35179,"66,827.36","17,918","226,189"
AL,35180,"72,468.94","16,355","228,924"
AL,35183,"65,439.29",1714,
AL,35184,"57,943.89",4253,"179,099"
AL,35186,"94,234.21","48,614","347,407"
AL,35188,"66,691.67",4217,"220,812"
AL,35203,"179,312.95","401,683","319,145"
AL,35204,"30,838.56",3950,"63,373"
AL,35205,"77,990.00","119,211","216,757"
AL,35206,"38,870.95","10,347","97,452"
AL,35207,"31,996.59",1003,"46,942"
AL,35208,"33,892.25",3849,"75,022"
AL,35209,"143,900.35","194,780","488,385"
AL,35210,"77,927.41","64,965","256,927"
AL,35211,"38,140.12","6,451","69,597"
AL,35212,"51,513.49","22,029","111,054"
AL,35213,"378,130.58","927,767","788,376"
AL,35214,"45,301.13","8,180","136,393"
AL,35215,"39,394.70","10,387","145,448"
AL,35216,"124,402.02","147,560","390,714"
AL,35217,"37,901.23","6,152","74,388"
AL,35218,"29,840.34",438,"66,017"
AL,35221,"32,697.48",553,"57,940"
AL,35222,"130,137.66","188,611","373,200"
AL,35223,"437,143.09","1,400,359","825,345"
AL,35224,"34,878.05",2985,"63,541"
AL,35226,"130,716.57","113,974","415,379"
AL,35228,"33,874.06",1282,"75,162"
