id,name,location,state,type,tuition,roomAndBoard,acceptanceRate,rating,size,rank,feesByIncome
16,Enterprise State Community College,"Enterprise, AL",AL,Public,4920,15000,,,small,1,"{'0-30000': 1838, '110001+': 7738, '30001-48000': 2694, '48001-75000': 4561, '75001-110000': 7744}"
45,Samford University,"Birmingham, AL",AL,Private Research,36725,15000,83.26,3.834375,small,1,"{'0-30000': 23359, '110001+': 33463, '30001-48000': 25342, '48001-75000': 28422, '75001-110000': 32460}"
74,Arizona Western College,"Yuma, AZ",AZ,Public,2960,15000,,,medium,1,"{'0-30000': 9713, '110001+': 0, '30001-48000': 10976, '48001-75000': 12699, '75001-110000': 12141}"
114,University of Arkansas,"Fayetteville, AR",AR,Public Research,9656,15000,78.93,3.646875,large,101,"{'0-30000': 11556, '110001+': 20093, '30001-48000': 12575, '48001-75000': 15514, '75001-110000': 18867}"
103,Arizona Christian University,"Glendale, AZ",AZ,Private,31650,15000,70.14,,small,101,"{'0-30000': 24298, '110001+': 30955, '30001-48000': 26066, '48001-75000': 30446, '75001-110000': 31393}"
105,Yavapai College,"Prescott, AZ",AZ,Public,2680,15000,,,small,101,"{'0-30000': 4830, '110001+': 1002, '30001-48000': 5306, '48001-75000': 7899, '75001-110000': 8590}"
131,Harding University,"Searcy, AR",AR,Private Research,23148,15000,45.12,3.69375,small,101,"{'0-30000': 16656, '110001+': 22536, '30001-48000': 14654, '48001-75000': 17597, '75001-110000': 21294}"
158,Shorter College,"N Little Rock, AR",AR,Private,6246,15000,,,small,101,"{'0-30000': 13423, '110001+': 0, '30001-48000': 16790, '48001-75000': 0, '75001-110000': 0}"
162,Southern Arkansas University Tech,"Camden, AR",AR,Public,4519,15000,,,small,101,"{'0-30000': 3373, '110001+': 8708, '30001-48000': 3393, '48001-75000': 4649, '75001-110000': 5888}"
187,Butte College,"Oroville, CA",CA,Public,1336,15000,,,medium,101,"{'0-30000': 5285, '110001+': 0, '30001-48000': 6860, '48001-75000': 9881, '75001-110000': 11675}"
217,University of California-Santa Barbara,"Santa Barbara, CA",CA,Public Research,14617,15000,25.85,,large,201,"{'0-30000': 8839, '110001+': 31659, '30001-48000': 10859, '48001-75000': 13464, '75001-110000': 18987}"
241,Chapman University,"Orange, CA",CA,Private Research,60672,15000,72.52,4.1125,medium,201,"{'0-30000': 33467, '110001+': 53059, '30001-48000': 31197, '48001-75000': 35244, '75001-110000': 39808}"
244,San Diego Christian College,"Santee, CA",CA,Private Research,26300,15000,,,small,201,"{'0-30000': 35393, '110001+': 40290, '30001-48000': 37063, '48001-75000': 40290, '75001-110000': 38774}"
273,Diablo Valley College,"Pleasant Hill, CA",CA,Public,1312,15000,,,medium,201,"{'0-30000': 4483, '110001+': 8528, '30001-48000': 5801, '48001-75000': 7996, '75001-110000': 9867}"
303,Hartnell College,"Salinas, CA",CA,Public,1404,15000,,,medium,301,"{'0-30000': 3462, '110001+': 10166, '30001-48000': 3611, '48001-75000': 6820, '75001-110000': 7495}"
333,Southern California University of Health Sciences,"Whittier, CA",CA,Private Research,13215,15000,,,small,301,"{'0-30000': 0, '110001+': 0, '30001-48000': 0, '48001-75000': 0, '75001-110000': 0}"
335,Los Angeles Pierce College,"Woodland Hills, CA",CA,Public,1238,15000,,,medium,301,"{'0-30000': 11309, '110001+': 0, '30001-48000': 11682, '48001-75000': 14295, '75001-110000': 15800}"
336,Los Angeles Southwest College,"Los Angeles, CA",CA,Public,1238,15000,,,small,301,"{'0-30000': 5919, '110001+': 0, '30001-48000': 7370, '48001-75000': 6876, '75001-110000': 10385}"
364,Mount Saint Mary's University,"Los Angeles, CA",CA,Private Research,46740,15000,75.76,,small,301,"{'0-30000': 28062, '110001+': 38531, '30001-48000': 28889, '48001-75000': 27953, '75001-110000': 30659}"
396,Platt College-San Diego,"San Diego, CA",CA,Private,15310,15000,,,small,301,"{'0-30000': 28859, '110001+': 0, '30001-48000': 29559, '48001-75000': 32083, '75001-110000': 33745}"
448,Solano Community College,"Fairfield, CA",CA,Public,1172,15000,,,medium,401,"{'0-30000': 4579, '110001+': 4725, '30001-48000': 5198, '48001-75000': 7597, '75001-110000': 8905}"
450,South Baylo University,"Anaheim, CA",CA,Private Research,0,15000,,,small,401,"{'0-30000': 0, '110001+': 0, '30001-48000': 0, '48001-75000': 0, '75001-110000': 0}"
451,South Coast College,"Orange, CA",CA,Private,13409,15000,,,small,401,"{'0-30000': 29705, '110001+': 0, '30001-48000': 34003, '48001-75000': 0, '75001-110000': 0}"
452,Vanguard University of Southern California,"Costa Mesa, CA",CA,Private Research,38700,15000,74.84,,small,401,"{'0-30000': 18883, '110001+': 30300, '30001-48000': 19218, '48001-75000': 22090, '75001-110000': 25240}"
453,Concorde Career College-Garden Grove,"Garden Grove, CA",CA,Private,0,15000,96.29,,small,401,"{'0-30000': 18594, '110001+': 22989, '30001-48000': 18265, '48001-75000': 22046, '75001-110000': 22895}"
454,Southwestern College,"Chula Vista, CA",CA,Public,1342,15000,,,medium,401,"{'0-30000': 10757, '110001+': 11770, '30001-48000': 10747, '48001-75000': 13956, '75001-110000': 16286}"
444,Charles A Jones Career and Education Center,"Sacramento, CA",CA,Public,0,15000,,,small,401,"{'0-30000': 33232, '110001+': 0, '30001-48000': 33467, '48001-75000': 0, '75001-110000': 0}"
445,Skyline College,"San Bruno, CA",CA,Public,1362,15000,,,medium,401,"{'0-30000': 1, '110001+': 1856, '30001-48000': 1841, '48001-75000': 2950, '75001-110000': 4643}"
446,San Bernardino Valley College,"San Bernardino, CA",CA,Public,744,15000,,,medium,401,"{'0-30000': 6907, '110001+': 0, '30001-48000': 6911, '48001-75000': 8203, '75001-110000': 9262}"
447,Saint Mary's College of California,"Moraga, CA",CA,Private Research,53932,15000,87.89,,small,401,"{'0-30000': 23731, '110001+': 38193, '30001-48000': 21930, '48001-75000': 23463, '75001-110000': 22610}"
443,College of the Siskiyous,"Weed, CA",CA,Public,1444,15000,,,small,401,"{'0-30000': 6723, '110001+': 0, '30001-48000': 7412, '48001-75000': 9826, '75001-110000': 11838}"
463,Epic Bible College & Graduate School,"Sacramento, CA",CA,Private Research,9689,15000,,,small,401,"{'0-30000': 0, '110001+': 0, '30001-48000': 0, '48001-75000': 0, '75001-110000': 0}"
509,Emily Griffith Technical College,"Denver, CO",CO,Public,0,15000,,,medium,501,"{'0-30000': 5184, '110001+': 0, '30001-48000': 5755, '48001-75000': 0, '75001-110000': 0}"
538,Asnuntuck Community College,"Enfield, CT",CT,Public,4772,15000,,,small,501,"{'0-30000': 9953, '110001+': 12859, '30001-48000': 10956, '48001-75000': 10526, '75001-110000': 12001}"
562,Mitchell College,"New London, CT",CT,Private,37250,15000,76.84,,small,501,"{'0-30000': 22627, '110001+': 34423, '30001-48000': 22447, '48001-75000': 29584, '75001-110000': 31290}"
563,Three Rivers Community College,"Norwich, CT",CT,Public,4820,15000,,,small,501,"{'0-30000': 5943, '110001+': 7299, '30001-48000': 6069, '48001-75000': 6547, '75001-110000': 6677}"
564,Lincoln Technical Institute-New Britain,"New Britain, CT",CT,Private,0,15000,,,small,501,"{'0-30000': 36854, '110001+': 38701, '30001-48000': 37360, '48001-75000': 37883, '75001-110000': 40160}"
565,New England Tractor Trailer Training School of Connecticut,"Somers, CT",CT,Private,0,15000,,,small,501,"{'0-30000': 14525, '110001+': 0, '30001-48000': 13495, '48001-75000': 16171, '75001-110000': 14623}"
566,University of New Haven,"West Haven, CT",CT,Private Research,44184,15000,91.24,3.6875,small,501,"{'0-30000': 28032, '110001+': 35968, '30001-48000': 29547, '48001-75000': 30939, '75001-110000': 34186}"
568,Northwestern Connecticut Community College,"Winsted, CT",CT,Public,4772,15000,,,small,501,"{'0-30000': 9320, '110001+': 13515, '30001-48000': 9617, '48001-75000': 10598, '75001-110000': 11495}"
569,Paier College,"Bridgeport, CT",CT,Private,24480,15000,95.45,,small,501,"{'0-30000': 27439, '110001+': 33946, '30001-48000': 30139, '48001-75000': 32598, '75001-110000': 0}"
570,Porter & Chester Institute,"Bridgeport, CT",CT,Private,14349,15000,,,small,501,"{'0-30000': 19575, '110001+': 26180, '30001-48000': 20076, '48001-75000': 22181, '75001-110000': 25067}"
571,Post University,"Waterbury, CT",CT,Private Research,16610,15000,,,medium,501,"{'0-30000': 20108, '110001+': 12349, '30001-48000': 14229, '48001-75000': 14292, '75001-110000': 11546}"
572,Quinebaug Valley Community College,"Danielson, CT",CT,Public,4740,15000,,,small,501,"{'0-30000': 7904, '110001+': 0, '30001-48000': 8983, '48001-75000': 9321, '75001-110000': 8877}"
573,Quinnipiac University,"Hamden, CT",CT,Private Research,51790,15000,83.79,3.8,medium,501,"{'0-30000': 33296, '110001+': 42979, '30001-48000': 32709, '48001-75000': 33699, '75001-110000': 38821}"
545,Porter & Chester Institute of Hamden,"Hamden, CT",CT,Private,14337,15000,,,small,501,"{'0-30000': 21864, '110001+': 0, '30001-48000': 22140, '48001-75000': 23836, '75001-110000': 27091}"
584,Margaret H Rollins School of Nursing at Beebe Medical Center,"Lewes, DE",DE,Private,0,15000,,,small,501,"{'0-30000': 0, '110001+': 0, '30001-48000': 0, '48001-75000': 0, '75001-110000': 0}"
604,Atlantic Technical College,"Coconut Creek, FL",FL,Public,0,15000,,,small,601,"{'0-30000': 11507, '110001+': 0, '30001-48000': 11381, '48001-75000': 8321, '75001-110000': 13497}"
637,Florida Memorial University,"Miami Gardens, FL",FL,Private Research,16836,15000,69.94,,small,601,"{'0-30000': 16651, '110001+': 23538, '30001-48000': 17802, '48001-75000': 20502, '75001-110000': 22369}"
664,Lindsey Hopkins Technical College,"Miami, FL",FL,Public,0,15000,,,small,601,"{'0-30000': 6457, '110001+': 0, '30001-48000': 0, '48001-75000': 0, '75001-110000': 0}"
676,Paul Mitchell the School-Jacksonville,"Jacksonville, FL",FL,Private,0,15000,,,small,601,"{'0-30000': 17659, '110001+': 22298, '30001-48000': 16970, '48001-75000': 19364, '75001-110000': 22250}"
677,North Florida College,"Madison, FL",FL,Public,3054,15000,,,small,601,"{'0-30000': 2305, '110001+': 0, '30001-48000': 2889, '48001-75000': 5800, '75001-110000': 0}"
678,University of North Florida,"Jacksonville, FL",FL,Public Research,6389,15000,70.5,3.45,medium,601,"{'0-30000': 5890, '110001+': 15699, '30001-48000': 6414, '48001-75000': 9056, '75001-110000': 13816}"
679,Nova Southeastern University,"Fort Lauderdale, FL",FL,Private Research,36300,15000,75.8,3.6375,medium,601,"{'0-30000': 25742, '110001+': 31944, '30001-48000': 25619, '48001-75000': 29584, '75001-110000': 30498}"
680,Northwest Florida State College,"Niceville, FL",FL,Public,3246,15000,,,small,601,"{'0-30000': 2858, '110001+': 10741, '30001-48000': 4676, '48001-75000': 7911, '75001-110000': 10777}"
681,Orange Technical College,"Orlando, FL",FL,Public,0,15000,,,small,601,"{'0-30000': 4113, '110001+': 0, '30001-48000': 4263, '48001-75000': 4463, '75001-110000': 0}"
682,Palm Beach Atlantic University,"West Palm Beach, FL",FL,Private Research,35900,15000,94.66,3.51875,small,601,"{'0-30000': 23704, '110001+': 33280, '30001-48000': 25221, '48001-75000': 26788, '75001-110000': 30331}"
683,Palm Beach State College,"Lake Worth, FL",FL,Public,3050,15000,,,large,601,"{'0-30000': 9993, '110001+': 14739, '30001-48000': 8773, '48001-75000': 11174, '75001-110000': 13731}"
684,Pasco-Hernando State College,"New Port Richey, FL",FL,Public,3155,15000,,,medium,601,"{'0-30000': 1879, '110001+': 8026, '30001-48000': 2761, '48001-75000': 5062, '75001-110000': 7247}"
685,Pensacola State College,"Pensacola, FL",FL,Public,2365,15000,,,medium,601,"{'0-30000': 1368, '110001+': 8458, '30001-48000': 2529, '48001-75000': 4339, '75001-110000': 6868}"
686,Pinellas Technical College-Clearwater,"Clearwater, FL",FL,Public,0,15000,,,small,601,"{'0-30000': 0, '110001+': 0, '30001-48000': 0, '48001-75000': 0, '75001-110000': 0}"
694,First Coast Technical College,"Saint Augustine, FL",FL,Public,0,15000,,,small,601,"{'0-30000': 17951, '110001+': 0, '30001-48000': 16470, '48001-75000': 19680, '75001-110000': 20218}"
724,University of West Florida,"Pensacola, FL",FL,Public Research,6360,15000,48.03,3.64375,medium,701,"{'0-30000': 4518, '110001+': 15182, '30001-48000': 5874, '48001-75000': 10113, '75001-110000': 13014}"
754,Columbus State University,"Columbus, GA",GA,Public Research,5751,15000,87.8,3.1875,medium,701,"{'0-30000': 12333, '110001+': 16810, '30001-48000': 12682, '48001-75000': 14698, '75001-110000': 17200}"
766,Georgia Institute of Technology-Main Campus,"Atlanta, GA",GA,Public Research,11764,15000,17.13,4.625,large,701,"{'0-30000': 8570, '110001+': 18807, '30001-48000': 11178, '48001-75000': 14771, '75001-110000': 18051}"
771,University of Georgia,"Athens, GA",GA,Public Research,11180,15000,42.55,4.171875,large,701,"{'0-30000': 9788, '110001+': 18614, '30001-48000': 11918, '48001-75000': 15583, '75001-110000': 18305}"
